Kundennummer;AccountErstellung;Alter;Geschlecht;PLZ;MonatlicherUmsatz;Rabatt;Aktivitätsindex;ErsterFilm;ZweiterFilm;DritterFilm;Vierter Film;FuenfterFilm;SechsterFilm;SiebterFilm;AchterFilm
45102404;27.01.2023;22;weiblich;70176;15;0;0,668063608;The Batman;Känguru-Chroniken;;Valentinstag;Titanic;Bridget Jones – Schokolade zum Frühstück;Sissi;Emily in Paris
45102405;28.01.2023;24;weiblich;70176;10;0;0,510833061;Keinohrhasen ;Känguru-Chroniken;;Valentinstag;Titanic;Sissi;;
45102406;29.01.2023;18;weiblich;70173;10;0;0,685958798;Känguru-Chroniken;;;;;;;
45102407;30.01.2023;19;weiblich;70174;10;0;0,697832942;Keinohrhasen ;Känguru-Chroniken;;;;;;
45102408;31.01.2023;20;weiblich;70173;15;0;0,740455056;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;Emily in Paris;;;
45102409;01.02.2023;25;männlich;70176;15;0;0,880497429;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;;;
45102410;02.02.2023;21;männlich;70176;15;0;0,112591293;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;Asterix
45102411;03.02.2023;26;männlich;70174;5;0;0,213516155;Känguru-Chroniken;;;;Star Wars II;;;
45102412;04.02.2023;20;männlich;70176;5;0;0,649015462;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;Asterix
45102413;05.02.2023;22;männlich;70176;5;0;0,356473006;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Schaun das Schaf;;;
45102414;06.02.2023;24;männlich;70173;5;0;0,572871539;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;fluch der karibik ;;;
45102415;07.02.2023;21;weiblich;70174;10;0;0,889301652;The Batman;Känguru-Chroniken;;;;;;
45102416;08.02.2023;20;männlich;70176;5;0;0,872041526;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;;;;
45102417;09.02.2023;22;männlich;70176;5;0;0,048562447;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;;;;
45102418;10.02.2023;24;männlich;70173;5;0;0,483752955;Känguru-Chroniken;;;;;;;
45102419;11.02.2023;21;weiblich;70174;10;0;0,070832446;Känguru-Chroniken;;;;;;;
45102420;12.02.2023;18;männlich;70173;15;0;0,302234812;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;Schlümpfe;
45102421;13.02.2023;19;männlich;70174;15;0;0,126795268;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;;
45102422;14.02.2023;20;männlich;70173;15;0;0,598087;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;;
45102423;15.02.2023;25;männlich;70174;15;0;0,103527767;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;;
45102424;16.02.2023;21;männlich;70176;10;0;0,644098749;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;Asterix;;;
45102425;17.02.2023;26;männlich;70176;10;0;0,765386837;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;;;
45102426;18.02.2023;20;weiblich;70174;10;0;0,55176982;Star Trek;Känguru-Chroniken;;;Star Wars II;;;
45102427;19.02.2023;22;weiblich;70176;15;0;0,625417721;The Batman;Känguru-Chroniken;;;Star Wars II;;;
45102428;20.02.2023;24;weiblich;70176;10;0;0,675890331;Keinohrhasen ;Känguru-Chroniken;;;Star Wars II;;;
45102429;21.02.2023;18;weiblich;70173;10;0;0,125710155;Känguru-Chroniken;;;;;;;
45102430;22.02.2023;19;weiblich;70174;10;0;0,466838165;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;;;;
45102431;23.02.2023;20;weiblich;70173;15;0;0,236929723;Keinohrhasen ;Känguru-Chroniken;;Valentinstag;Titanic;Bridget Jones – Schokolade zum Frühstück;Sissi;Emily in Paris
45102432;24.02.2023;24;weiblich;70176;10;0;0,84664171;The Batman;Känguru-Chroniken;;Valentinstag;Titanic;Bridget Jones – Schokolade zum Frühstück;Sissi;Emily in Paris
45102433;25.02.2023;18;weiblich;70173;10;0;0,626429439;The Batman;Känguru-Chroniken;;Valentinstag;Sissi;;;
45102434;26.02.2023;19;weiblich;70174;10;0;0,167243437;Känguru-Chroniken;;;;;;;
45102435;27.02.2023;20;weiblich;70173;15;0;0,256649472;The Batman;Känguru-Chroniken;;;;;;
45102436;28.02.2023;24;weiblich;70176;10;0;0,261682827;The Batman;Känguru-Chroniken;;;;;;
45102437;01.03.2023;18;weiblich;70173;10;0;0,425101576;The Batman;Känguru-Chroniken;;;;;;
45102438;02.03.2023;19;weiblich;70174;10;0;0,342405273;The Batman;Känguru-Chroniken;;;;;;
45102439;03.03.2023;20;weiblich;70173;15;0;0,12676588;Känguru-Chroniken;Keinohrhasen ;Tatsächlich... Liebe;;Titanic;Bridget Jones – Schokolade zum Frühstück;Sissi;
45102440;04.03.2023;24;weiblich;70176;10;0;0,851697648;Känguru-Chroniken;Keinohrhasen ;Tatsächlich... Liebe;;Titanic;Bridget Jones – Schokolade zum Frühstück;Sissi;Emily in Paris
45102441;05.03.2023;18;weiblich;70173;10;0;0,203782425;Känguru-Chroniken;;;;;;;
45102442;06.03.2023;19;weiblich;70174;10;0;0,458920546;Känguru-Chroniken;;;;;;;
45102443;07.03.2023;20;weiblich;70173;15;0;0,887846521;The Batman;Känguru-Chroniken;;;;;;
45102444;08.03.2023;25;männlich;70176;15;0;0,570672191;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102445;09.03.2023;21;männlich;70176;15;0;0,615753348;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102446;10.03.2023;26;männlich;70174;5;0;0,708035183;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102447;11.03.2023;20;männlich;70176;5;0;0,088364313;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;Asterix
45102448;12.03.2023;22;männlich;70176;5;0;0,473647381;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102449;13.03.2023;24;männlich;70173;5;0;0,347768457;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;;
45102450;14.03.2023;;weiblich;70174;10;0;0,50678878;The Batman;Känguru-Chroniken;;;Star Wars II;;;
45102451;15.03.2023;20;;70176;5;0;0,366755662;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102452;16.03.2023;22;männlich;70176;5;0;0,632385865;Känguru-Chroniken;;;;;;;
45102453;17.03.2023;24;männlich;70173;5;0;0,428850614;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;;;
45102454;18.03.2023;21;weiblich;70174;10;0;0,851171842;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;Star Wars II;Emily in Paris;;
45102455;19.03.2023;18;männlich;70173;15;0;0,556896534;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;fluch der karibik ;;
45102456;20.03.2023;19;männlich;70174;15;0;0,161678565;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102457;21.03.2023;20;männlich;70173;15;0;0,431433281;Känguru-Chroniken;;;;;;;
45102458;22.03.2023;25;männlich;70174;15;0;0,425658976;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102459;23.03.2023;21;männlich;70176;10;0;0,307717849;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102460;24.03.2023;26;männlich;70176;10;0;0,621224327;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102461;25.03.2023;20;weiblich;70174;10;0;0,255841119;The Batman;Känguru-Chroniken;;;;;;
45102462;26.03.2023;22;weiblich;70176;15;0;0,425111129;Känguru-Chroniken;Keinohrhasen ;;;;;;
45102463;27.03.2023;25;männlich;70176;15;0;0,455087413;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;Star Wars II;fluch der karibik ;;
45102464;28.03.2023;21;männlich;70176;15;0;0,110833817;Känguru-Chroniken;;;;Star Wars II;;;
45102465;29.03.2023;26;männlich;;5;0;0,260348054;Känguru-Chroniken;;;;Star Wars II;;;
45102466;30.03.2023;20;männlich;70176;5;0;0,596625948;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;fluch der karibik ;;
45102467;31.03.2023;;männlich;70176;5;0;0,922812319;The Batman;Känguru-Chroniken;;;;;;
45102468;01.04.2023;24;männlich;70173;5;0;0,072168622;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102469;02.04.2023;21;weiblich;70174;10;0;0,537895635;Keinohrhasen ;Känguru-Chroniken;;;;;;
45102470;03.04.2023;20;männlich;70176;5;0;0,206559913;Känguru-Chroniken;;;;;;;
45102471;04.04.2023;18;weiblich;70173;10;0;0,974719786;The Batman;Känguru-Chroniken;;;;;;
45102472;05.04.2023;19;weiblich;70174;10;0;0,468279078;The Batman;Känguru-Chroniken;;;;;;
45102473;06.04.2023;20;weiblich;70173;15;0;0,893070005;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;Emily in Paris;;;
45102474;07.04.2023;18;männlich;70173;15;0;0,904214901;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;;;;
45102475;08.04.2023;19;männlich;70174;15;0;0,781712566;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102476;09.04.2023;20;männlich;70173;15;0;0,993916573;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102477;10.04.2023;25;männlich;70174;15;0;0,02045099;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;;;
45102478;11.04.2023;21;männlich;70176;10;0;0,161900949;Star Trek;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;;;
45102479;12.04.2023;26;männlich;70176;10;0;0,649744711;Känguru-Chroniken;;;;Star Wars II;;;
45102480;13.04.2023;20;weiblich;70174;10;0;0,653582424;Keinohrhasen ;Känguru-Chroniken;;Valentinstag;Titanic;Bridget Jones – Schokolade zum Frühstück;Sissi;Emily in Paris
45102481;14.04.2023;22;weiblich;70176;15;0;0,57428955;Keinohrhasen ;Känguru-Chroniken;;;;;;
45102482;15.04.2023;25;männlich;70176;15;0;0,562187642;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Asterix;;;
45102483;16.04.2023;21;männlich;70176;15;0;0,581564343;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102484;17.04.2023;26;männlich;70174;5;0;0,825384043;Känguru-Chroniken;;;;;;;
45102485;18.04.2023;20;männlich;70176;5;0;0,939085823;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;;
45102486;19.04.2023;22;männlich;70176;5;0;0,535354434;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102487;20.04.2023;24;männlich;70173;5;0;0,692287011;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102488;21.04.2023;21;weiblich;70174;10;0;0,535301356;The Batman;Känguru-Chroniken;;Valentinstag;Titanic;Bridget Jones – Schokolade zum Frühstück;Sissi;Emily in Paris
45102489;22.04.2023;20;männlich;70176;5;0;0,206939507;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;Star Wars II;;;
45102490;23.04.2023;22;männlich;70176;5;0;0,835844908;Känguru-Chroniken;Star Trek;james bond casino royale;Star Wars I;Star Wars II;;;
45102491;24.04.2023;24;männlich;70173;5;0;0,138014067;Känguru-Chroniken;;;;Star Wars II;;;
45102492;25.04.2023;21;weiblich;70174;10;0;0,23465354;Känguru-Chroniken;;;;;;;
45102493;26.04.2023;18;männlich;70173;15;0;0,726087364;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102494;27.04.2023;19;männlich;70174;15;0;0,217490809;The Batman;Känguru-Chroniken;james bond casino royale;Star Wars I;;;;
45102495;28.04.2023;18;weiblich;70173;10;0;0,811362671;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;Sissi;;;
45102496;29.04.2023;19;weiblich;70174;10;0;0,03998681;Keinohrhasen ;Känguru-Chroniken;;;;;;
45102497;30.04.2023;20;weiblich;70173;15;0;0,393273132;Transformers;Kung Fu Panda;Valentinstag;;;;;
45102498;01.05.2023;26;männlich;70176;10;0;0,541451804;Transformers;Kung Fu Panda;;;;;;
45102499;02.05.2023;20;weiblich;70174;10;0;0,719738697;Transformers;Kung Fu Panda;;;;;;
45102500;03.05.2023;22;weiblich;70176;15;0;0,681338693;Transformers;Kung Fu Panda;Valentinstag;;;;;
45102501;04.05.2023;25;männlich;70176;15;0;0,108366054;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;;;;
45102502;05.05.2023;21;männlich;70176;15;0;0,524056908;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102503;06.05.2023;26;männlich;70174;5;0;0,186179554;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102504;07.05.2023;20;männlich;70176;5;0;0,057041047;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102505;08.05.2023;22;männlich;70176;5;0;0,44892519;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;;;;
45102506;09.05.2023;24;männlich;70173;5;0;0,112473695;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;;;
45102507;10.05.2023;21;weiblich;70174;10;0;0,552182795;Kung Fu Panda;Transformers;;;Star Wars II;;;
45102508;11.05.2023;20;männlich;70176;5;0;0,899902677;Transformers;Kung Fu Panda;;;Star Wars II;;;
45102509;12.05.2023;22;männlich;70176;5;0;0,594375345;Transformers;Kung Fu Panda;;;;;;
45102510;13.05.2023;24;männlich;70173;5;0;0,189748148;Transformers;Kung Fu Panda;;;;;;
45102511;14.05.2023;21;weiblich;70174;10;0;0,224935689;Transformers;Kung Fu Panda;;;;;;
45102512;15.05.2023;18;männlich;70173;15;0;0,399489373;Transformers;Kung Fu Panda;;;;;;
45102513;16.05.2023;19;männlich;70174;15;0;0,682275213;Transformers;Kung Fu Panda;;;;;;
45102514;17.05.2023;20;männlich;70173;15;0;0,689687076;Transformers;Kung Fu Panda;;;;;;
45102515;18.05.2023;25;;;15;0;0,005297668;Transformers;Kung Fu Panda;;;;;;
45102516;19.05.2023;21;männlich;70176;10;0;0,897174651;Kung Fu Panda;;;;;;;
45102517;20.05.2023;26;männlich;70176;10;0;0,591876778;Kung Fu Panda;;;;;;;
45102518;21.05.2023;20;weiblich;70174;10;0;0,83210145;Kung Fu Panda;;;;;;;
45102519;22.05.2023;;weiblich;70176;15;0;0,805350986;;;;;;;;
45102520;23.05.2023;24;weiblich;70176;10;0;0,469444177;Kung Fu Panda;;;;;;;
45102521;24.05.2023;18;weiblich;70173;10;0;0,18866821;Kung Fu Panda;;;;;;;
45102522;25.05.2023;19;weiblich;70174;10;0;0,283604316;Kung Fu Panda;;;;;;;
45102523;26.05.2023;20;weiblich;70173;15;0;0,049192904;Transformers;Kung Fu Panda;;;;;;
45102524;27.05.2023;24;weiblich;70176;10;0;0,543357877;Transformers;Kung Fu Panda;;;;;;
45102525;28.05.2023;18;weiblich;70173;10;0;0,435332581;Kung Fu Panda;Transformers;Valentinstag;Titanic;;;;
45102526;29.05.2023;19;weiblich;70174;10;0;0,141418384;Kung Fu Panda;Transformers;;;;;;
45102527;30.05.2023;20;weiblich;70173;15;0;0,800045149;Kung Fu Panda;Transformers;;;;;;
45102528;31.05.2023;24;weiblich;70176;10;0;0,1470954;Kung Fu Panda;Transformers;Valentinstag;Titanic;;;;
45102529;01.06.2023;18;weiblich;70173;10;0;0,410890267;Kung Fu Panda;Transformers;;;;;;
45102530;02.06.2023;19;weiblich;70174;10;0;0,761855381;Kung Fu Panda;Transformers;;;;;;
45102531;03.06.2023;20;weiblich;70173;15;0;0,558803058;Kung Fu Panda;Transformers;Valentinstag;Titanic;;;;
45102532;04.06.2023;24;weiblich;70176;10;0;0,798001662;Transformers;Kung Fu Panda;;;;;;
45102533;01.01.2023;18;männlich;70173;15;0;0,188313363;Transformers;Kung Fu Panda;;;;;;
45102534;02.01.2023;19;männlich;70174;15;0;0,54338672;Transformers;Kung Fu Panda;;;;;;
45102535;03.01.2023;20;männlich;70173;15;0;0,127439205;Transformers;Kung Fu Panda;;;;;;
45102536;04.01.2023;25;männlich;70174;15;0;0,892299775;Transformers;Kung Fu Panda;;;;;;
45102537;05.01.2023;21;männlich;70176;10;0;0,2809925;Transformers;Kung Fu Panda;;;;;;
45102538;06.01.2023;26;männlich;70176;10;0;0,241468535;Transformers;Kung Fu Panda;;;;;;
45102539;07.01.2023;20;weiblich;70174;10;0;0,869751278;Transformers;Kung Fu Panda;;;;;;
45102540;08.01.2023;22;weiblich;70176;15;0;0,673523474;Kung Fu Panda;;;;;;;
45102541;09.01.2023;24;weiblich;70176;10;0;0,201709264;Kung Fu Panda;;;;;;;
45102542;10.01.2023;18;weiblich;70173;10;0;0,510321495;Kung Fu Panda;;;;;;;
45102543;11.01.2023;19;weiblich;70174;10;0;0,242838445;Transformers;Kung Fu Panda;Valentinstag;Titanic;;;;
45102544;12.01.2023;20;weiblich;70173;15;0;0,245149182;Transformers;Kung Fu Panda;Valentinstag;Titanic;;;;
45102545;13.01.2023;25;männlich;70176;15;0;0,440251781;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;;;;
45102546;14.01.2023;21;männlich;70176;15;0;0,57403651;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;;;;
45102547;15.01.2023;26;männlich;70174;5;0;0,674831552;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102548;16.01.2023;20;männlich;70176;5;0;0,030654233;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102549;17.01.2023;22;männlich;70176;5;0;0,039877813;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102550;18.01.2023;24;männlich;70173;5;0;0,978275879;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Asterix;;;
45102551;19.01.2023;21;weiblich;70174;10;0;0,265464963;Kung Fu Panda;Transformers;;;;;;
45102552;20.01.2023;18;männlich;70173;15;0;0,711854143;Transformers;Kung Fu Panda;;;;;;
45102553;21.01.2023;19;männlich;70174;15;0;0,556489917;Transformers;Kung Fu Panda;;;;;;
45102554;22.01.2023;20;männlich;70173;15;0;0,689936296;Transformers;Kung Fu Panda;;;;;;
45102555;23.01.2023;25;männlich;70174;15;0;0,325401536;Transformers;Kung Fu Panda;;;;;;
45102556;24.01.2023;21;männlich;70176;10;0;0,655848617;Transformers;Kung Fu Panda;;;;;;
45102557;25.01.2023;26;männlich;70176;10;0;0,721090441;Transformers;Kung Fu Panda;;;;;;
45102558;26.01.2023;20;weiblich;70174;10;0;0,028220496;Transformers;Kung Fu Panda;Valentinstag;Titanic;;;;
45102559;27.01.2023;22;weiblich;70176;15;0;0,753782589;Transformers;Kung Fu Panda;;;;;;
45102560;28.01.2023;24;weiblich;70176;10;0;0,828280853;Kung Fu Panda;;;;;;;
45102561;29.01.2023;18;weiblich;70173;10;0;0,978254526;Kung Fu Panda;;;;;;;
45102562;30.01.2023;19;weiblich;70174;10;0;0,275100272;Kung Fu Panda;;;;;;;
45102563;31.01.2023;20;weiblich;70173;15;0;0,519148232;Transformers;Kung Fu Panda;;;;;;
45102564;01.02.2023;25;männlich;70176;15;0;0,031879115;Transformers;Kung Fu Panda;;;;;;
45102565;02.02.2023;21;männlich;70176;15;0;0,358712224;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;;;;
45102566;03.02.2023;26;männlich;70174;5;0;0,892987531;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102567;04.02.2023;20;männlich;70176;5;0;0,367693694;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102568;05.02.2023;22;männlich;70176;5;0;0,030806347;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;Star Wars II;mandalorian ;fluch der karibik ;
45102569;06.02.2023;24;männlich;70173;5;0;0,428437858;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;;;;
45102570;07.02.2023;21;weiblich;70174;10;0;0,208131694;Kung Fu Panda;Transformers;;;;;;
45102571;08.02.2023;20;männlich;70176;5;0;0,18381248;Kung Fu Panda;Transformers;james bond casino royale;Star Wars I;fluch der karibik ;;;
45102572;09.02.2023;22;männlich;70176;5;0;0,609188846;Transformers;Kung Fu Panda;;;fluch der karibik ;;;
45102573;10.02.2023;24;männlich;70173;5;0;0,349405093;Transformers;Kung Fu Panda;;;fluch der karibik ;;;
45102574;11.02.2023;21;weiblich;70174;10;0;0,61590581;Transformers;Kung Fu Panda;;;;;;
45102575;12.02.2023;18;männlich;70173;15;0;0,12855771;Transformers;Kung Fu Panda;;;;;;
45102576;13.02.2023;19;männlich;70174;15;0;0,33211853;Transformers;Kung Fu Panda;;;;;;
45102577;14.02.2023;20;männlich;70173;15;0;0,392499439;Transformers;Kung Fu Panda;;;;;;
45102578;15.02.2023;25;männlich;70174;15;0;0,19330603;Transformers;Kung Fu Panda;;;;;;
45102579;16.02.2023;21;männlich;70176;10;0;0,853495956;Transformers;Kung Fu Panda;;;;;;
45102580;17.02.2023;26;männlich;70176;10;0;0,873390811;Kung Fu Panda;;;;;;;
45102581;18.02.2023;20;weiblich;70174;10;0;0,39509455;Star Trek;;;;;;;
45102582;19.02.2023;22;weiblich;70176;15;0;0,196941204;Kung Fu Panda;;;;;;;
45102583;20.02.2023;24;weiblich;70176;10;0;0,024654535;The Batman;Känguru-Chroniken;Valentinstag;;;;;
45102584;21.02.2023;18;weiblich;70173;10;0;0,160955013;The Batman;Känguru-Chroniken;;;;;;
45102585;22.02.2023;19;weiblich;70174;10;0;0,680559395;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;Emily in Paris;;;
45102586;23.02.2023;20;weiblich;70173;15;0;0,461468827;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;Emily in Paris;;;
45102587;24.02.2023;24;weiblich;70176;10;0;0,561495268;Känguru-Chroniken;Keinohrhasen ;Tatsächlich... Liebe;;Emily in Paris;;;
45102588;25.02.2023;18;weiblich;70173;10;0;0,5748399;Keinohrhasen ;Känguru-Chroniken;;;;;;
45102589;26.02.2023;19;weiblich;70174;10;0;0,678476199;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;Emily in Paris;;;
45102590;27.02.2023;20;weiblich;70173;15;0;0,705622696;The Batman;Känguru-Chroniken;;;;;;
45102591;28.02.2023;24;weiblich;70176;10;0;0,085868657;Keinohrhasen ;Känguru-Chroniken;Tatsächlich... Liebe;;Emily in Paris;;;
45102592;01.03.2023;18;;70173;10;0;0,694464041;Känguru-Chroniken;;;;;;;
45102593;02.03.2023;19;weiblich;70174;10;0;0,756024388;Keinohrhasen ;Känguru-Chroniken;;;;;;
45102594;03.03.2023;20;weiblich;70173;15;0;0,55566396;Keinohrhasen ;Känguru-Chroniken;Valentinstag;Titanic;Bridget Jones – Schokolade zum Frühstück;Sissi;Emily in Paris;
